user_id,corporation,usage_count,total_wins,total_position_sum,win_rate,avg_position,user_name,cn_name,cn_name_plot
uf4403b31785b,🌸Tyrell🌸,2,2,2,100.0,1.0,星星,🌸泰瑞尔公司🌸,泰瑞尔公司
uf572bad25885,Helion,2,1,3,50.0,1.5,pigeeyupi,Helion,Helion
uf578d807dca2,Viron,2,1,3,50.0,1.5,wznb,Viron,Viron
uf5c5f86ac62d,Teractor,4,3,5,75.0,1.25,easydog,Teractor,Teractor
uf84be893d6ae,Helion,2,0,4,0.0,2.0,veneto,Helion,Helion
uf977679d4e0d,Inventrix (breakthrough),4,4,4,100.0,1.0,神之上gc,Inventrix (breakthrough),Inventrix (breakthrough)
uf977679d4e0d,Point Luna,5,5,5,100.0,1.0,神之上gc,Point Luna,Point Luna
uf9d58493c13c,Interplanetary Cinematics (breakthrough),2,2,2,100.0,1.0,ikun,Interplanetary Cinematics (breakthrough),Interplanetary Cinematics (breakthrough)
uf9d58493c13c,Junk Ventures,2,2,2,100.0,1.0,ikun,Junk Ventures,Junk Ventures
uf9d58493c13c,Playwrights,2,2,2,100.0,1.0,ikun,Playwrights,Playwrights
uf9d58493c13c,🌸Integrated Microorganisms🌸,3,2,4,66.67,1.333,ikun,🌸微生物星尘🌸,微生物星尘
ufaa37b18598a,Aridor,2,0,4,0.0,2.0,目空一切,Aridor,Aridor
ufaa37b18598a,Arklight (breakthrough),5,3,7,60.0,1.4,目空一切,Arklight (breakthrough),Arklight (breakthrough)
ufaa37b18598a,Celestic (breakthrough),7,3,11,42.86,1.571,目空一切,Celestic (breakthrough),Celestic (breakthrough)
ufaa37b18598a,EcoTec,5,3,7,60.0,1.4,目空一切,EcoTec,EcoTec
ufaa37b18598a,Ecoline (breakthrough),6,2,10,33.33,1.667,目空一切,Ecoline (breakthrough),Ecoline (breakthrough)
ufaa37b18598a,Factorum (breakthrough),5,1,9,20.0,1.8,目空一切,Factorum (breakthrough),Factorum (breakthrough)
ufaa37b18598a,Helion (breakthrough),5,2,8,40.0,1.6,目空一切,Helion (breakthrough),Helion (breakthrough)
ufaa37b18598a,Interplanetary Cinematics (breakthrough),5,2,8,40.0,1.6,目空一切,Interplanetary Cinematics (breakthrough),Interplanetary Cinematics (breakthrough)
ufaa37b18598a,Inventrix (breakthrough),7,3,11,42.86,1.571,目空一切,Inventrix (breakthrough),Inventrix (breakthrough)
ufaa37b18598a,Lakefront Resorts,2,0,4,0.0,2.0,目空一切,湖畔度假区,湖畔度假区
ufaa37b18598a,Mining guild (breakthrough),2,1,3,50.0,1.5,目空一切,Mining guild (breakthrough),Mining guild (breakthrough)
ufaa37b18598a,MorningStar Inc (breakthrough),4,4,4,100.0,1.0,目空一切,MorningStar Inc (breakthrough),MorningStar Inc (breakthrough)
ufaa37b18598a,Pharmacy Union,6,0,12,0.0,2.0,目空一切,制药联盟,制药联盟
ufaa37b18598a,Philares,2,1,3,50.0,1.5,目空一切,,
ufaa37b18598a,Pobolog (breakthrough),2,2,2,100.0,1.0,目空一切,Pobolog (breakthrough),Pobolog (breakthrough)
