card_name,play_count,wins,avg_position,avg_score,total_weighted,count_weighted,weighted_avg_score,win_rate,cn_name,cn_name_plot
Pioneer Settlement,317,169,1.4668769716088328,159.81388012618297,465.0,317,1.4984709480122325,53.31,定居点,定居点
Small Duty Rovers,44,32,1.2727272727272727,227.3181818181818,56.0,44,1.5,72.73,小型履带车。,小型履带车。
Dust Storm,146,83,1.4315068493150684,178.17123287671234,209.0,146,1.5,56.85,沙尘暴,沙尘暴
Luna Mining Hub,28,24,1.1428571428571428,263.39285714285717,32.0,28,1.5,85.71,月球矿山枢纽,月球矿山枢纽
Rust Eating Bacteria,85,52,1.388235294117647,243.48235294117646,118.0,85,1.5052631578947369,61.18,锈蚀细菌,锈蚀细菌
Darkside Smugglers' Union,65,42,1.353846153846154,202.58461538461538,88.0,65,1.5066666666666666,64.62,Darkside Smugglers' Union,Darkside Smugglers' Union
Capital,138,78,1.434782608695652,165.2826086956522,198.0,138,1.5067567567567568,56.52,首都,首都
Rotator Impacts,118,68,1.423728813559322,173.864406779661,168.0,118,1.5078125,57.63,回旋冲撞,回旋冲撞
New Partner,228,122,1.4649122807017543,148.31140350877192,334.0,228,1.5084033613445378,53.51,新合伙人,新合伙人
New Colony Planning Initiatives,49,34,1.3061224489795917,227.0204081632653,64.0,49,1.5084745762711864,69.39,New Colony Planning Initiatives,New Colony Planning Initiatives
Luna Trade Station,43,31,1.2790697674418605,227.06976744186048,55.0,43,1.509433962264151,72.09,月球贸易站,月球贸易站
Colonizer Training Camp,380,196,1.4842105263157894,179.23157894736843,564.0,380,1.5102564102564102,51.58,开拓者训练营,开拓者训练营
Research & Development Hub,76,47,1.381578947368421,229.71052631578948,105.0,76,1.5116279069767442,61.84,研发中心,研发中心
Mining Area,160,88,1.45,157.23125,232.0,160,1.511764705882353,55.0,采矿区,采矿区
Envoys From Venus,154,85,1.448051948051948,161.53246753246754,223.0,154,1.5121951219512195,55.19,金星来使,金星来使
Mare Imbrium Mine,64,41,1.359375,208.140625,87.0,64,1.5135135135135136,64.06,雨海矿山,雨海矿山
Industrial Center,112,64,1.4285714285714286,157.53571428571428,160.0,112,1.5163934426229508,57.14,工业中心,工业中心
Sponsoring Nation,131,73,1.4427480916030535,168.58778625954199,189.0,131,1.5177304964539007,55.73,主办国,主办国
Darkside Mining Syndicate,71,44,1.380281690140845,195.16901408450704,98.0,71,1.5185185185185186,61.97,暗面矿业联盟,暗面矿业联盟
Darkside Meteor Bombardment,74,45,1.3918918918918919,197.82432432432432,103.0,74,1.5238095238095237,60.81,暗面流星雨轰击,暗面流星雨轰击
Lunar Trade Fleet,72,44,1.3888888888888888,192.40277777777777,100.0,72,1.524390243902439,61.11,月球船队,月球船队
Mare Nectaris Mine,66,41,1.378787878787879,202.5909090909091,91.0,66,1.5263157894736843,62.12,酒海矿山,酒海矿山
Natural Preserve,98,56,1.4285714285714286,161.90816326530611,140.0,98,1.5277777777777777,57.14,自然保护区,自然保护区
HE3 Lobbyists,50,33,1.34,210.14,67.0,50,1.5333333333333334,66.0,HE3游说者,HE3游说者
Recruitment,106,59,1.4433962264150944,169.5754716981132,153.0,106,1.5344827586206897,55.66,雇佣,雇佣
Copernicus Tower,46,31,1.326086956521739,214.65217391304347,61.0,46,1.5357142857142858,67.39,哥白尼塔,哥白尼塔
HE3 Refinery,44,30,1.3181818181818181,188.04545454545453,58.0,44,1.537037037037037,68.18,HE3精炼厂,HE3精炼厂
Public Celebrations,83,48,1.4216867469879517,166.85542168674698,118.0,83,1.5376344086021505,57.83,公开庆典,公开庆典
Mohole Area,79,46,1.4177215189873418,163.0506329113924,112.0,79,1.5393258426966292,58.23,超深钻区域,超深钻区域
Venera Base,77,45,1.4155844155844155,191.1038961038961,109.0,77,1.5402298850574712,58.44,金星基地,金星基地
Vote Of No Confidence,64,39,1.390625,158.8125,89.0,64,1.5405405405405406,60.94,不信任票,不信任票
Hackers,152,79,1.480263157894737,186.42105263157896,225.0,152,1.5432098765432098,51.97,黑客,黑客
Dust Seals,201,101,1.4975124378109452,185.88059701492537,301.0,201,1.5450236966824644,50.25,垃圾密封,垃圾密封
Luna Senate,43,29,1.3255813953488371,218.8372093023256,57.0,43,1.5471698113207548,67.44,月球参议院,月球参议院
GHG Shipment,72,42,1.4166666666666667,154.72222222222223,102.0,72,1.548780487804878,58.33,温室气体运输,温室气体运输
Heliostat Mirror Array,112,60,1.4642857142857142,188.83035714285714,164.0,112,1.5491803278688525,53.57,日镜阵列,日镜阵列
