combination,total_games,wins,avg_position,avg_score,total_weighted,count_weighted,weighted_avg_score,win_rate,cn_name_plot
Septem Tribus + Teractor (breakthrough),4,2,1.5,98.0,6.0,4,2.2142857142857144,50.0,Septem Tribus + Teractor (breakthrough)
Helion (breakthrough) + Robinson Industries (breakthrough),4,2,1.5,96.5,6.0,4,2.2142857142857144,50.0,Helion (breakthrough) + Robinson Industries (breakthrough)
Splice (breakthrough) + 🌸Buy N Large🌸,18,6,2.0555555555555554,87.38888888888889,37.0,18,2.2142857142857144,33.33,Splice (breakthrough) + 🌸大巨购🌸
Imperial Star Destroyer + Mars Maths,4,3,1.5,116.0,6.0,4,2.2142857142857144,75.0,帝国歼星舰 + Mars Maths
Interplanetary Cinematics (breakthrough) + Trade Navigator,4,3,1.5,109.0,6.0,4,2.2142857142857144,75.0,Interplanetary Cinematics (breakthrough) + 贸易领航者
Robinson Industries (breakthrough) + Terralabs Research (breakthrough),4,2,1.5,134.0,6.0,4,2.2142857142857144,50.0,Robinson Industries (breakthrough) + Terralabs Research (breakthrough)
Imperial Star Destroyer + 🌸Tyrell🌸,4,2,1.5,107.75,6.0,4,2.2142857142857144,50.0,帝国歼星舰 + 🌸泰瑞尔公司🌸
Aphrodite (breakthrough) + Tharsis_republic (breakthrough),4,2,1.5,116.5,6.0,4,2.2142857142857144,50.0,Aphrodite (breakthrough) + Tharsis_republic (breakthrough)
Philares + 🌸Ark Nova🌸,4,2,1.5,116.0,6.0,4,2.2142857142857144,50.0, + 🌸方舟动物园🌸
Tycho Magnetics + 🌸MirrorCoat🌸,4,3,1.5,149.75,6.0,4,2.2142857142857144,75.0,第谷磁力 + 🌸镜反🌸
Celestic (breakthrough) + Id Front,4,2,1.5,160.0,6.0,4,2.2142857142857144,50.0,Celestic (breakthrough) + 前线基地
Arcadian Communities (breakthrough) + 🌸Ark Nova🌸,18,9,2.0555555555555554,87.94444444444444,37.0,18,2.2142857142857144,50.0,Arcadian Communities (breakthrough) + 🌸方舟动物园🌸
MorningStar Inc (breakthrough) + Prism,13,6,2.0,125.15384615384616,26.0,13,2.217391304347826,46.15,MorningStar Inc (breakthrough) + 棱镜光谱研究室
🌸Green Ring🌸 + 🌸StarlinkDrifter🌸,13,5,2.0,114.61538461538461,26.0,13,2.217391304347826,38.46,🌸绿环🌸 + 🌸星链漂流者🌸
Arcadian Communities (breakthrough) + Vitor,13,5,2.0,84.92307692307692,26.0,13,2.217391304347826,38.46,Arcadian Communities (breakthrough) + Vitor
Interplanetary Cinematics (breakthrough) + Pobolog (breakthrough),40,13,2.15,89.75,86.0,40,2.22,32.5,Interplanetary Cinematics (breakthrough) + Pobolog (breakthrough)
Chaos + 🌸Scolex Industries🌸,17,7,2.0588235294117645,93.05882352941177,35.0,17,2.2222222222222223,41.18,Chaos + 🌸星核工业🌸
Inventrix (breakthrough) + Prism,8,5,1.875,128.5,15.0,8,2.2222222222222223,62.5,Inventrix (breakthrough) + 棱镜光谱研究室
Celestic (breakthrough) + Tharsis_republic (breakthrough),8,3,1.875,116.75,15.0,8,2.2222222222222223,37.5,Celestic (breakthrough) + Tharsis_republic (breakthrough)
