user_id,total_games,total_wins,total_position_sum,total_score_sum,total_generations_sum,total_tr_sum,total_cards_played_sum,tr_games,cards_games,avg_position,avg_score,avg_generations,avg_tr,avg_cards_played,min_score,max_score,min_position,win_rate,user_name
966fec459c13,14,5,29,1140,112,483.0,373.0,14,14,2.071,81.43,8.0,34.5,26.64,47,106,1,35.71,hongquan
585f0dda8b6d,14,7,29,1360,110,531.0,527.0,14,14,2.071,97.14,7.86,37.93,37.64,46,157,1,50.0,啦啦啦
u187ca287f2ff,14,0,40,990,79,479.0,442.0,14,14,2.857,70.71,5.64,34.21,31.57,47,108,2,0.0,阿莫
ud128953dcb8c,14,6,28,1180,93,476.0,510.0,14,14,2.0,84.29,6.64,34.0,36.43,50,124,1,42.86,皮卡丘
uc2265a65f992,13,2,33,880,63,429.0,364.0,13,13,2.538,67.69,4.85,33.0,28.0,49,98,1,15.38,芝士泥鸭
2fc3e9b6d3fc,13,1,34,1370,114,613.0,673.0,13,13,2.615,105.38,8.77,47.15,51.77,70,143,1,7.69,kahala
u30e37960ab52,13,0,43,818,83,359.0,415.0,13,13,3.308,62.92,6.38,27.62,31.92,41,82,2,0.0,lf
ue81df0911958,12,2,39,819,102,464.0,331.0,12,12,3.25,68.25,8.5,38.67,27.58,47,89,1,16.67,nydzsf
ud0d4a329a5e3,12,0,40,709,75,331.0,354.0,12,12,3.333,59.08,6.25,27.58,29.5,40,86,2,0.0,四月
u16470e663061,12,3,33,940,74,437.0,471.0,12,12,2.75,78.33,6.17,36.42,39.25,41,112,1,25.0,dolphin159
u6196ef142f6d,12,4,32,930,86,378.0,581.0,12,12,2.667,77.5,7.17,31.5,48.42,43,110,1,33.33,dddylan
u67c748ccedda,12,5,24,877,109,387.0,374.0,12,12,2.0,73.08,9.08,32.25,31.17,54,111,1,41.67,peterhu58
ubfb680681a48,12,2,30,930,84,419.0,423.0,12,12,2.5,77.5,7.0,34.92,35.25,54,114,1,16.67,oldfan
ub4cbe3f67b24,12,0,40,706,65,366.0,322.0,12,12,3.333,58.83,5.42,30.5,26.83,39,88,2,0.0,火星威
1637240fb98f,12,4,26,1028,77,485.0,342.0,12,12,2.167,85.67,6.42,40.42,28.5,69,103,1,33.33,点点
u81d5ec6a0a54,12,3,27,894,102,466.0,382.0,12,12,2.25,74.5,8.5,38.83,31.83,53,99,1,25.0,alpha7777
u85082c3eee34,12,0,41,813,101,407.0,348.0,11,11,3.417,67.75,8.42,37.0,31.64,29,82,2,0.0,jecin
ba0b522902ed,12,0,39,775,67,385.0,276.0,12,12,3.25,64.58,5.58,32.08,23.0,44,127,2,0.0,hangrui
ue913a8e72cb0,12,6,27,1047,85,474.0,473.0,12,12,2.25,87.25,7.08,39.5,39.42,47,122,1,50.0,徒手开根号
20a57d8251ab,11,1,32,760,63,341.0,390.0,11,11,2.909,69.09,5.73,31.0,35.45,35,120,1,9.09,wuser
u2716b8718049,11,2,28,988,65,438.0,403.0,11,11,2.545,89.82,5.91,39.82,36.64,30,153,1,18.18,半山
u27b7063a5163,11,6,21,777,66,385.0,266.0,11,11,1.909,70.64,6.0,35.0,24.18,40,104,1,54.55,zuididi
u90bfcef4201b,11,3,23,837,92,403.0,329.0,11,11,2.091,76.09,8.36,36.64,29.91,58,99,1,27.27,xxx
u471914ff05db,11,0,34,804,90,371.0,279.0,11,11,3.091,73.09,8.18,33.73,25.36,52,108,2,0.0,jzymz
u1703dab9b66a,11,2,25,912,93,377.0,373.0,11,11,2.273,82.91,8.45,34.27,33.91,67,144,1,18.18,东东
u14d057be76e8,11,1,37,678,98,335.0,271.0,11,11,3.364,61.64,8.91,30.45,24.64,47,75,1,9.09,hhv587666
u428c9fcc5c3f,11,2,31,1003,93,428.0,425.0,11,11,2.818,91.18,8.45,38.91,38.64,60,130,1,18.18,peach15
fd8623c9c453,11,2,26,965,64,334.0,426.0,11,11,2.364,87.73,5.82,30.36,38.73,57,128,1,18.18,尼古拉耶维基
u6e91e1189005,11,1,33,700,62,323.0,341.0,11,11,3.0,63.64,5.64,29.36,31.0,35,107,1,9.09,甘雨
u3fe8b245fa5f,10,0,33,682,86,301.0,425.0,10,10,3.3,68.2,8.6,30.1,42.5,47,94,2,0.0,chuangf
uc2201f6c37fc,10,1,24,765,77,309.0,262.0,10,10,2.4,76.5,7.7,30.9,26.2,63,105,1,10.0,fdw
uad95851b66b6,10,4,21,858,86,329.0,488.0,10,10,2.1,85.8,8.6,32.9,48.8,55,121,1,40.0,tsmc no1
u7f881dd033c7,10,2,26,770,86,279.0,389.0,10,10,2.6,77.0,8.6,27.9,38.9,58,135,1,20.0,hypertai123
ud3ead75896b4,10,4,20,837,86,313.0,455.0,10,10,2.0,83.7,8.6,31.3,45.5,60,129,1,40.0,secretlegk
u667bb4cd15a4,10,2,30,838,91,388.0,358.0,10,10,3.0,83.8,9.1,38.8,35.8,59,131,1,20.0,卓某
udbc540105fa7,10,2,31,644,90,291.0,261.0,10,10,3.1,64.4,9.0,29.1,26.1,48,95,1,20.0,henferyl6
ue12a8d01f356,10,1,32,635,61,262.0,243.0,10,10,3.2,63.5,6.1,26.2,24.3,47,92,1,10.0,魏杨刚
u38f2ce624896,10,4,22,882,57,365.0,392.0,10,10,2.2,88.2,5.7,36.5,39.2,58,124,1,40.0,duoyu222
u9ca1b4f8b101,10,5,18,829,89,395.0,369.0,10,10,1.8,82.9,8.9,39.5,36.9,60,97,1,50.0,狗头
u56947fcdc5c2,10,1,30,680,59,408.0,275.0,10,10,3.0,68.0,5.9,40.8,27.5,44,90,1,10.0,echo
8c4980d6b1cb,10,0,26,667,60,290.0,290.0,10,10,2.6,66.7,6.0,29.0,29.0,29,116,2,0.0,匆匆
6d226d2ca405,10,1,27,698,56,301.0,303.0,10,10,2.7,69.8,5.6,30.1,30.3,50,127,1,10.0,Automuen
999c744cd7e3,10,2,22,875,66,365.0,423.0,10,10,2.2,87.5,6.6,36.5,42.3,66,107,1,20.0,业问
5f2df2684d33,10,5,21,884,84,267.0,363.0,8,8,2.1,88.4,8.4,33.38,45.38,57,125,1,50.0,小z
a70796f6ce41,10,7,14,834,56,347.0,344.0,10,10,1.4,83.4,5.6,34.7,34.4,62,105,1,70.0,fklmgj
d9a8b3f4fe62,10,6,19,688,51,317.0,291.0,10,10,1.9,68.8,5.1,31.7,29.1,42,92,1,60.0,no3c
e1c929a192f3,10,0,35,701,66,307.0,297.0,10,10,3.5,70.1,6.6,30.7,29.7,47,99,2,0.0,老李
f54fdd507d1c,10,3,24,856,66,342.0,345.0,10,10,2.4,85.6,6.6,34.2,34.5,65,128,1,30.0,张飞
5a66d1149dc6,10,2,24,804,61,375.0,323.0,10,10,2.4,80.4,6.1,37.5,32.3,46,126,1,20.0,darisen
e3c453b1eb3a,10,3,21,937,78,333.0,414.0,10,10,2.1,93.7,7.8,33.3,41.4,60,109,1,30.0,dinnerv5
e578cd4d3823,10,3,23,980,61,360.0,407.0,10,10,2.3,98.0,6.1,36.0,40.7,35,227,1,30.0,act5st
57bb13ed49f0,9,3,19,777,65,383.0,253.0,9,9,2.111,86.33,7.22,42.56,28.11,69,108,1,33.33,guapi
52a7759f9f57,9,1,27,583,56,248.0,220.0,9,9,3.0,64.78,6.22,27.56,24.44,46,85,1,11.11,红茶
ue01a8307e9cf,9,1,22,892,66,325.0,492.0,9,9,2.444,99.11,7.33,36.11,54.67,50,185,1,11.11,5k1
u78c21c747291,9,5,13,758,51,319.0,324.0,9,9,1.444,84.22,5.67,35.44,36.0,58,126,1,55.56,大熊猫
2450c74ea170,9,0,31,587,49,244.0,346.0,9,9,3.444,65.22,5.44,27.11,38.44,24,107,2,0.0,晓黑
u4191c543e4b2,9,5,17,781,61,357.0,215.0,9,9,1.889,86.78,6.78,39.67,23.89,57,159,1,55.56,colin lin
8becbf6c6dd2,9,1,26,648,55,264.0,296.0,9,9,2.889,72.0,6.11,29.33,32.89,42,98,1,11.11,无情的命运
ude9a78d4dfe8,9,7,13,870,84,242.0,417.0,9,9,1.444,96.67,9.33,26.89,46.33,69,146,1,77.78,moe
ubfc52ae1278a,9,0,27,556,56,270.0,295.0,9,9,3.0,61.78,6.22,30.0,32.78,40,90,2,0.0,左仙人江东
u47c055fdd149,9,0,30,652,67,317.0,251.0,9,9,3.333,72.44,7.44,35.22,27.89,62,88,2,0.0,凉橙
ueccf5997c1bc,9,6,15,741,81,298.0,288.0,9,9,1.667,82.33,9.0,33.11,32.0,64,109,1,66.67,roadtree
2d8d33416cd1,9,5,16,885,56,348.0,423.0,9,9,1.778,98.33,6.22,38.67,47.0,40,150,1,55.56,铃铛
9c67be74271c,9,3,21,650,72,318.0,278.0,9,9,2.333,72.22,8.0,35.33,30.89,53,90,1,33.33,NPCXiGua
u7bcf93545d5f,8,6,13,717,75,309.0,330.0,8,8,1.625,89.62,9.38,38.62,41.25,53,148,1,75.0,raven
u69f9ee18835e,8,2,18,548,50,211.0,187.0,7,7,2.25,68.5,6.25,30.14,26.71,46,87,1,25.0,jiang.cc
u7b624de49eb5,8,0,29,466,48,222.0,233.0,8,8,3.625,58.25,6.0,27.75,29.12,35,80,3,0.0,大知闲闲
u733fe426ddc1,8,2,16,581,55,288.0,202.0,8,8,2.0,72.62,6.88,36.0,25.25,57,105,1,25.0,fenglin_18
u6fa4182a700b,8,0,29,447,53,238.0,257.0,8,8,3.625,55.88,6.62,29.75,32.12,38,70,3,0.0,芜湖
u8f713bc4094b,8,1,25,711,72,277.0,285.0,7,7,3.125,88.88,9.0,39.57,40.71,34,271,1,12.5,my9281
ue822cbe89d9b,8,3,15,660,78,239.0,301.0,8,8,1.875,82.5,9.75,29.88,37.62,65,110,1,37.5,maguawang
