prelude_name,uses_2p,total_weighted_x,count_weighted_x,weighted_avg_score_x,weighted_2p,uses_4p,total_weighted_y,count_weighted_y,weighted_avg_score_y,weighted_4p,cn_name,cn_name_plot,wr_diff_2p,wr_diff_4p,total_diff
Focused Organization,135,173.0,135,1.296551724137931,1.3,463,1188.0,463,2.5644820295983086,2.56,专注组织,专注组织,-48.7,-22.44,-71.14
Galilean Mining,116,180.0,116,1.5476190476190477,1.55,189,523.0,189,2.7537688442211055,2.75,伽利略矿业,伽利略矿业,-48.45,-22.25,-70.7
Giant Solar Collector,94,152.0,94,1.6057692307692308,1.61,280,742.0,280,2.6448275862068966,2.64,巨型太阳能收集器,巨型太阳能收集器,-48.39,-22.36,-70.75
Great Aquifer,77,110.0,77,1.4367816091954022,1.44,856,2033.0,856,2.376443418013857,2.38,大型含水层,大型含水层,-48.56,-22.62,-71.18
High Circles,31,45.0,31,1.4634146341463414,1.46,523,1235.0,523,2.3639774859287055,2.36,高层圈子,高层圈子,-48.54,-22.64,-71.18
Huge Asteroid,43,58.0,43,1.3773584905660377,1.38,244,627.0,244,2.5669291338582676,2.57,巨型小行星,巨型小行星,-48.62,-22.43,-71.05
Hydrogen Bombardment,96,140.0,96,1.4622641509433962,1.46,535,1276.0,535,2.387155963302752,2.39,氢弹攻击,氢弹攻击,-48.54,-22.61,-71.15
Industrial Complex,40,54.0,40,1.38,1.38,46,125.0,46,2.6785714285714284,2.68,工业综合体,工业综合体,-48.62,-22.32,-70.94
Io Research Outpost,152,232.0,152,1.5246913580246915,1.52,240,645.0,240,2.68,2.68,木卫一研究前哨,木卫一研究前哨,-48.48,-22.32,-70.8
Loan,119,172.0,119,1.449612403100775,1.45,1091,2766.0,1091,2.5349682107175293,2.53,贷款,贷款,-48.55,-22.47,-71.02
Main Belt Asteroids,32,48.0,32,1.5,1.5,41,104.0,41,2.5294117647058822,2.53,主带小行星,主带小行星,-48.5,-22.47,-70.97
