card_name,total_games,wins,avg_position,avg_score,total_weighted,count_weighted,avg_resources,weighted_avg_score,win_rate,cn_name,cn_name_plot
Productive Outpost,1983,801,2.0206757438224914,120.43419062027232,4007.0,1983,0.0,2.027819175360159,40.39,生产前哨站,生产前哨站
Casinos,1044,418,2.014367816091954,126.71455938697318,2103.0,1044,0.0,2.0279329608938546,40.04,赌场,赌场
Martian Zoo,1906,775,2.0209863588667365,122.0897166841553,3852.0,1906,6.342077649527807,2.028409090909091,40.66,火星动物园,火星动物园
Asteroid Mining Consortium,1648,685,2.0200242718446604,126.87257281553399,3329.0,1648,0.0,2.028605482717521,41.57,行星采矿财团,行星采矿财团
Water to Venus,1887,772,2.021197668256492,118.24536301006889,3814.0,1887,0.0,2.0286906624934793,40.91,输送水源到金星,输送水源到金星
Aquifer Pumping,307,121,1.98371335504886,134.42345276872965,609.0,307,0.0,2.029673590504451,39.41,含水层抽水,含水层抽水
Meltworks,896,343,2.0145089285714284,135.37723214285714,1805.0,896,0.0,2.0302375809935205,38.28,熔融工厂,熔融工厂
Carbon Nanosystems,2885,1175,2.0256499133448873,115.75181975736568,5844.0,2885,0.6956672443674177,2.030531732418525,40.73,碳纳米系统,碳纳米系统
Neutralizer Factory,2091,863,2.0239120038259206,115.83500717360114,4232.0,2091,0.0,2.030645921735031,41.27,中和剂工厂,中和剂工厂
Conscription,2512,1000,2.025079617834395,113.11305732484077,5087.0,2512,0.0,2.030684500393391,39.81,征兵,征兵
Arctic Algae,1425,560,2.0210526315789474,103.60350877192982,2880.0,1425,0.0,2.0309278350515463,39.3,北极的藻类植物,北极的藻类植物
Hi-Tech Lab,1744,707,2.022935779816514,127.67316513761467,3528.0,1744,0.0,2.031003382187148,40.54,高科技实验室,高科技实验室
Solar Probe,2693,1118,2.025993316004456,116.99257333828444,5456.0,2693,0.0,2.0312155710613293,41.52,太阳探测器,太阳探测器
Hydrothermal Vent Archaea,2016,822,2.0248015873015874,115.0327380952381,4082.0,2016,12.367063492063492,2.0317693059628543,40.77,深海热泉细菌,深海热泉细菌
Dyson Screens,1691,688,2.0254287403903017,115.51685393258427,3425.0,1691,0.0,2.0337013364323067,40.69,戴森屏,戴森屏
Field-Capped City,2101,794,2.0271299381247023,114.50023798191337,4259.0,2101,0.0,2.033786954481464,37.79,磁场穹顶城市,磁场穹顶城市
