user_id,generations,game_count,max_score,max_cards_played,avg_score,avg_cards_played,user_name
u7236bc23b6ec,7,1,37,20.0,37.0,20.0,etc
u7236bc23b6ec,9,1,77,33.0,77.0,33.0,etc
u7236bc23b6ec,10,2,82,41.0,75.5,35.5,etc
u732c497fce90,4,1,45,17.0,45.0,17.0,roseallenzwt
u732c497fce90,5,1,52,25.0,52.0,25.0,roseallenzwt
u732c497fce90,6,2,66,41.0,63.5,33.0,roseallenzwt
u732c497fce90,7,3,91,57.0,78.67,44.33,roseallenzwt
u733fe426ddc1,6,4,67,22.0,61.5,16.25,fenglin_18
u733fe426ddc1,7,2,77,38.0,76.5,30.0,fenglin_18
u733fe426ddc1,8,1,77,50.0,77.0,50.0,fenglin_18
u733fe426ddc1,9,1,105,27.0,105.0,27.0,fenglin_18
u745e63d1dfc5,6,2,90,33.0,69.5,29.0,麻瓜
u76971e31dd7d,6,2,79,24.0,62.5,23.0,echinochloa
u76971e31dd7d,7,2,75,33.0,61.5,26.5,echinochloa
u76971e31dd7d,8,1,65,35.0,65.0,35.0,echinochloa
u771fb35bbe0f,10,1,63,19.0,63.0,19.0,终末电车
u771fb35bbe0f,11,3,86,35.0,68.67,31.67,终末电车
u77a0648885c2,3,2,46,15.0,45.0,15.0,alon
u77a0648885c2,4,13,77,29.0,53.08,21.08,alon
u77a0648885c2,5,115,99,58.0,61.88,28.81,alon
u77a0648885c2,6,193,159,78.0,75.19,36.36,alon
u77a0648885c2,7,64,157,77.0,86.78,44.34,alon
u77a0648885c2,8,2,104,74.0,88.0,61.5,alon
u77a0648885c2,9,3,127,71.0,95.67,50.67,alon
u78ac45523fb9,3,1,38,19.0,38.0,19.0,侠客谋
u78ac45523fb9,4,2,47,12.0,42.0,9.0,侠客谋
u78ac45523fb9,5,10,88,47.0,55.8,27.3,侠客谋
u78ac45523fb9,6,13,81,42.0,67.85,28.46,侠客谋
u78ac45523fb9,7,6,108,53.0,83.33,34.83,侠客谋
u78ac45523fb9,8,1,93,63.0,93.0,63.0,侠客谋
u78ac45523fb9,9,3,88,50.0,83.0,41.67,侠客谋
u78ac45523fb9,10,2,138,59.0,115.5,45.0,侠客谋
u78c21c747291,4,1,58,20.0,58.0,20.0,大熊猫
u78c21c747291,5,2,94,42.0,92.0,37.0,大熊猫
u78c21c747291,6,5,89,40.0,78.0,35.2,大熊猫
u78c21c747291,7,1,126,54.0,126.0,54.0,大熊猫
u79369c0e3b7e,5,1,82,27.0,82.0,27.0,捏麻麻地
u79369c0e3b7e,6,2,94,35.0,91.5,30.0,捏麻麻地
u7a25849c2ebd,4,1,64,6.0,64.0,6.0,杨施瓦格
u7a25849c2ebd,5,1,79,16.0,79.0,16.0,杨施瓦格
u7a25849c2ebd,6,1,89,35.0,89.0,35.0,杨施瓦格
u7b624de49eb5,5,3,57,27.0,47.67,20.33,大知闲闲
u7b624de49eb5,6,2,72,35.0,64.0,29.5,大知闲闲
u7b624de49eb5,7,3,80,50.0,65.0,37.67,大知闲闲
u7bcf93545d5f,8,1,53,20.0,53.0,20.0,raven
u7bcf93545d5f,9,3,89,46.0,80.33,39.33,raven
u7bcf93545d5f,10,4,148,74.0,105.75,48.0,raven
u7c36da709da5,10,1,92,44.0,92.0,44.0,凉江
u7c36da709da5,11,1,103,55.0,103.0,55.0,凉江
u7cb47e59a1c7,4,1,44,14.0,44.0,14.0,牧牛流马
u7cb47e59a1c7,5,1,61,20.0,61.0,20.0,牧牛流马
u7cb47e59a1c7,6,1,49,20.0,49.0,20.0,牧牛流马
u7cfc13e9ec9f,7,1,55,24.0,55.0,24.0,橘雪莉小爱
u7cfc13e9ec9f,9,1,99,22.0,99.0,22.0,橘雪莉小爱
u7cfc13e9ec9f,11,2,112,38.0,111.5,36.5,橘雪莉小爱
u7e41dc608300,6,3,59,24.0,49.0,19.67,chrissy
u7e41dc608300,8,1,75,27.0,75.0,27.0,chrissy
u7f881dd033c7,8,6,81,40.0,70.0,35.0,hypertai123
u7f881dd033c7,9,2,89,34.0,73.5,30.0,hypertai123
