corporation,players,total_games,wins,avg_position,avg_score,total_weighted,count_weighted,avg_generations,weighted_avg_score,win_rate,cn_name,cn_name_plot
Hadesphere,2,3,2,1.3333333333333333,154.66666666666666,4.0,3,15.0,1.4615384615384615,66.67,Hadesphere,Hadesphere
🌸Energy Saving Ecology🌸,2,29,16,1.4482758620689655,113.51724137931035,42.0,29,8.448275862068966,1.4615384615384615,55.17,🌸节能生态🌸,节能生态
Runciter Associates,2,80,43,1.4625,169.1625,117.0,80,10.1125,1.4666666666666666,53.75,朗西斯联合公司,朗西斯联合公司
Utopia Invest,2,11,6,1.4545454545454546,128.72727272727272,16.0,11,9.363636363636363,1.4761904761904763,54.55,乌托邦投资计划,乌托邦投资计划
雩喵科学探测器,2,74,39,1.472972972972973,158.7972972972973,109.0,74,9.58108108108108,1.4761904761904763,52.7,雩喵科学探测器,雩喵科学探测器
🌸Scolex Industries🌸,2,120,63,1.475,156.55833333333334,177.0,120,9.616666666666667,1.476923076923077,52.5,🌸星核工业🌸,星核工业
🌸MirrorCoat🌸,2,57,30,1.4736842105263157,155.49122807017545,84.0,57,9.368421052631579,1.4776119402985075,52.63,🌸镜反🌸,镜反
Robinson Industries (breakthrough),2,103,54,1.4757281553398058,134.61165048543688,152.0,103,9.601941747572816,1.4778761061946903,52.43,Robinson Industries (breakthrough),Robinson Industries (breakthrough)
Polyphemos (breakthrough),2,13,7,1.4615384615384615,128.23076923076923,19.0,13,9.538461538461538,1.4782608695652173,53.85,Polyphemos (breakthrough),Polyphemos (breakthrough)
Celestic (breakthrough),2,134,70,1.4776119402985075,149.3507462686567,198.0,134,9.925373134328359,1.4791666666666667,52.24,Celestic (breakthrough),Celestic (breakthrough)
Arklight (breakthrough),2,71,37,1.4788732394366197,176.14084507042253,105.0,71,10.04225352112676,1.4814814814814814,52.11,Arklight (breakthrough),Arklight (breakthrough)
🌸StarlinkDrifter🌸,2,73,38,1.4794520547945205,185.63013698630138,108.0,73,9.794520547945206,1.4819277108433735,52.05,🌸星链漂流者🌸,星链漂流者
Ambient,2,50,26,1.48,124.82,74.0,50,9.04,1.4833333333333334,52.0,,
Sagitta Frontier Services,2,62,32,1.4838709677419355,141.51612903225808,92.0,62,9.516129032258064,1.4861111111111112,51.61,Sagitta Frontier Services,Sagitta Frontier Services
🌸Mining Corp🌸,2,77,39,1.4935064935064934,143.54545454545453,115.0,77,9.623376623376624,1.4942528735632183,50.65,🌸钢铁精炼🌸,钢铁精炼
Valley Trust (breakthrough),2,242,122,1.4958677685950412,148.20661157024793,362.0,242,9.801652892561984,1.496031746031746,50.41,Valley Trust (breakthrough),Valley Trust (breakthrough)
Agricola Inc,2,2,1,1.5,159.0,3.0,2,12.0,1.5,50.0,Agricola Inc,Agricola Inc
Luna Hyperloop Corporation,2,6,3,1.5,166.83333333333334,9.0,6,12.666666666666666,1.5,50.0,月球超级高速列车,月球超级高速列车
Pobolog (breakthrough),2,160,80,1.5,144.0,240.0,160,9.6,1.5,50.0,Pobolog (breakthrough),Pobolog (breakthrough)
PolderTECH Dutch,2,4,2,1.5,115.0,6.0,4,9.75,1.5,50.0,荷兰圩田科技,荷兰圩田科技
Steelaris,2,6,3,1.5,90.66666666666667,9.0,6,9.0,1.5,50.0,钢之星,钢之星
Trade Navigator,2,84,42,1.5,171.52380952380952,126.0,84,10.321428571428571,1.5,50.0,贸易领航者,贸易领航者
🌸Tyrell🌸,2,98,49,1.5,146.1530612244898,147.0,98,9.63265306122449,1.5,50.0,🌸泰瑞尔公司🌸,泰瑞尔公司
Splice (breakthrough),2,107,52,1.514018691588785,135.17757009345794,162.0,107,9.532710280373832,1.5128205128205128,48.6,Splice (breakthrough),Splice (breakthrough)
Factorum (breakthrough),2,127,61,1.5196850393700787,152.36220472440945,193.0,127,10.031496062992126,1.5182481751824817,48.03,Factorum (breakthrough),Factorum (breakthrough)
Inventrix (breakthrough),2,150,72,1.52,154.72,228.0,150,10.226666666666667,1.51875,48.0,Inventrix (breakthrough),Inventrix (breakthrough)
United Nations Mission One,2,42,20,1.5238095238095237,135.28571428571428,64.0,42,9.547619047619047,1.5192307692307692,47.62,United Nations Mission One,United Nations Mission One
Philares,2,40,19,1.525,138.55,61.0,40,9.75,1.52,47.5,,
Tycho Magnetics,2,115,55,1.5217391304347827,160.2,175.0,115,9.956521739130435,1.52,47.83,第谷磁力,第谷磁力
Mars Maths,2,38,18,1.5263157894736843,166.3421052631579,58.0,38,9.842105263157896,1.5208333333333333,47.37,Mars Maths,Mars Maths
Playwrights,2,34,16,1.5294117647058822,118.05882352941177,52.0,34,9.147058823529411,1.5227272727272727,47.06,Playwrights,Playwrights
Luna Chain,2,49,23,1.530612244897959,148.81632653061226,75.0,49,9.46938775510204,1.5254237288135593,46.94,连月,连月
Luna First Incorporated,2,7,3,1.5714285714285714,120.71428571428571,11.0,7,10.0,1.5294117647058822,42.86,月球先行公司,月球先行公司
Helion (breakthrough),2,88,41,1.5340909090909092,117.07954545454545,135.0,88,9.534090909090908,1.530612244897959,46.59,Helion (breakthrough),Helion (breakthrough)
Viron (breakthrough),2,120,56,1.5333333333333334,138.65,184.0,120,9.7,1.5307692307692307,46.67,Viron (breakthrough),Viron (breakthrough)
TeiAi Group,2,33,15,1.5454545454545454,171.06060606060606,51.0,33,10.303030303030303,1.5348837209302326,45.45,帝爱赌场,帝爱赌场
