rank,player_name,matched_user,match_type,occurrences
194,阿洋,阿洋,exact,38
195,tmbisheng,tmbisheng,exact,37
196,muyu-a,muyu-a,exact,37
197,皮儿利,皮儿利,exact,37
198,memq,memq,exact,37
199,文远,文远,exact,36
200,dprd,dprd,exact,36
201,yuqi,yuqi,exact,36
202,yuechen,yuechen,exact,36
203,假的雪樱,假的雪樱,exact,35
204,shorst,shorst,exact,35
205,益达,益达,exact,35
206,9death,9death,exact,34
207,wq,wq,exact,34
208,maozhuzi,maozhuzi,exact,34
209,我是猫阀大人,我是猫阀大人,exact,34
210,火影忍者,火影忍者,exact,34
211,WMsnow,wmsnow,case_insensitive,34
212,ooc1997,ooc1997,exact,33
213,Liyo,liyo,case_insensitive,33
214,🐱🐱🐟🐖🐖,🐱🐱🐟🐖🐖,exact,33
215,act5st,act5st,exact,33
216,调和师,调和师,exact,32
217,uniruss,uniruss,exact,32
218,156_20000000,156_20000000,exact,32
219,wilhelm,wilhelm,exact,32
220,狗运助我,狗运助我,exact,32
221,華尘🐟,華尘🐟,exact,31
222,白银,白银,exact,31
223,戦わなければ死ぬ,戦わなければ死ぬ,exact,31
224,lidai,lidai,exact,31
225,制裁苏总的黄sir,制裁苏总的黄sir,exact,31
226,五亿个铃铛,五亿个铃铛,exact,31
227,mcore,mcore,exact,31
228,george sun,george sun,exact,31
229,Wanxiangchengguan,wanxiangchengguan,case_insensitive,30
230,shoval,shoval,exact,29
231,天天是好天,天天是好天,exact,29
232,Huasong,Huasong,exact,29
233,葫芦娃,葫芦娃,exact,29
234,nep,nep,exact,29
235,蓝蓝鹿,蓝蓝鹿,exact,29
236,小笨蛋铃铛,小笨蛋铃铛,exact,29
237,sun96,sun96,exact,29
238,mkspencer233,mkspencer233,exact,29
239,小坏蛋居居,小坏蛋居居,exact,28
240,scatoladesu,scatoladesu,exact,28
241,时尘,时尘,exact,28
242,sargeras,sargeras,exact,28
243,colinlin,colinlin,exact,28
244,新几内亚的猴王,新几内亚的猴王,exact,28
