corporation,players,total_games,wins,avg_position,avg_score,total_weighted,count_weighted,avg_generations,weighted_avg_score,win_rate,cn_name,cn_name_plot
Mining guild (breakthrough),4,167,26,2.7425149700598803,71.38323353293413,458.0,167,6.149700598802395,2.7288135593220337,15.57,Mining guild (breakthrough),Mining guild (breakthrough)
Inventrix (breakthrough),4,345,63,2.736231884057971,75.60579710144927,944.0,345,6.260869565217392,2.7295774647887323,18.26,Inventrix (breakthrough),Inventrix (breakthrough)
Robin Haulings,4,31,6,2.806451612903226,74.74193548387096,87.0,31,6.064516129032258,2.731707317073171,19.35,罗宾运输,罗宾运输
Thorgate (breakthrough),4,69,11,2.7681159420289854,78.0,191.0,69,7.173913043478261,2.7341772151898733,15.94,Thorgate (breakthrough),Thorgate (breakthrough)
Mons Insurance,4,9,1,3.0,69.88888888888889,27.0,9,7.777777777777778,2.736842105263158,11.11,蒙斯保险,蒙斯保险
Nirgal Enterprises,4,13,0,2.923076923076923,78.0,38.0,13,6.923076923076923,2.739130434782609,0.0,Nirgal Enterprises,Nirgal Enterprises
Playwrights,4,262,54,2.7595419847328246,70.5381679389313,723.0,262,5.755725190839694,2.75,20.61,Playwrights,Playwrights
Gagarin Mobile Base,4,27,3,2.8518518518518516,74.0,77.0,27,6.37037037037037,2.7567567567567566,11.11,Gagarin Mobile Base,Gagarin Mobile Base
Mars Frontier Alliance,4,4,0,3.5,55.25,14.0,4,5.75,2.7857142857142856,0.0,火星边疆联盟,火星边疆联盟
Recyclon (breakthrough),4,83,9,2.8313253012048194,68.75903614457832,235.0,83,5.843373493975903,2.795698924731183,10.84,Recyclon (breakthrough),Recyclon (breakthrough)
Kingdom of Tauraro,4,5,0,3.4,72.6,17.0,5,6.8,2.8,0.0,陶拉罗王国,陶拉罗王国
Utopia Invest,4,50,5,2.86,73.78,143.0,50,6.0,2.8,10.0,乌托邦投资计划,乌托邦投资计划
Palladin Shipping,4,47,7,2.893617021276596,69.70212765957447,136.0,47,6.76595744680851,2.824561403508772,14.89,Palladin Shipping,Palladin Shipping
🌸双轨跃迁🌸,4,192,31,2.8489583333333335,71.09375,547.0,192,5.708333333333333,2.8316831683168315,16.15,🌸双轨跃迁🌸,双轨跃迁
Chimera,4,32,5,2.9375,74.1875,94.0,32,6.84375,2.8333333333333335,15.62,奇美拉,奇美拉
SolBank,4,15,2,3.066666666666667,76.0,46.0,15,6.8,2.84,13.33,SolBank,SolBank
Nanotech Industries,4,5,0,3.6,72.0,18.0,5,7.8,2.8666666666666667,0.0,纳米技术工业,纳米技术工业
Collegium Copernicus,4,188,29,2.893617021276596,72.90957446808511,544.0,188,6.031914893617022,2.8737373737373737,15.43,哥白尼学院,哥白尼学院
Runciter Associates,4,86,10,2.9302325581395348,71.68604651162791,252.0,86,6.662790697674419,2.8854166666666665,11.63,朗西斯联合公司,朗西斯联合公司
Project Workshop,4,38,4,3.0,73.13157894736842,114.0,38,6.7368421052631575,2.8958333333333335,10.53,Project Workshop,Project Workshop
Pristar (breakthrough),4,52,7,2.980769230769231,78.26923076923077,155.0,52,6.596153846153846,2.903225806451613,13.46,Pristar (breakthrough),Pristar (breakthrough)
Factorum (breakthrough),4,199,29,2.9246231155778895,69.2964824120603,582.0,199,6.341708542713568,2.9043062200956937,14.57,Factorum (breakthrough),Factorum (breakthrough)
TeiAi Group,4,22,4,3.090909090909091,73.18181818181819,68.0,22,6.863636363636363,2.90625,18.18,帝爱赌场,帝爱赌场
Curiosity II,4,56,10,2.982142857142857,72.41071428571429,167.0,56,6.142857142857143,2.909090909090909,17.86,Curiosity II,Curiosity II
Tycho Magnetics,4,273,33,2.9633699633699635,72.8058608058608,809.0,273,6.428571428571429,2.9469964664310955,12.09,第谷磁力,第谷磁力
Cheung Shing MARS,4,36,3,3.1944444444444446,71.72222222222223,115.0,36,7.055555555555555,3.0434782608695654,8.33,Cheung Shing MARS,Cheung Shing MARS
Odyssey,4,11,1,3.5454545454545454,15.272727272727273,39.0,11,6.363636363636363,3.0476190476190474,9.09,奥德赛,奥德赛
Mars Maths,4,67,7,3.1343283582089554,70.53731343283582,210.0,67,6.268656716417911,3.051948051948052,10.45,Mars Maths,Mars Maths
Junk Ventures,4,112,6,3.294642857142857,64.52678571428571,369.0,112,6.3125,3.2295081967213113,5.36,Junk Ventures,Junk Ventures
