card_name,corporation,play_count,wins,avg_score,total_weighted,count_weighted,weighted_avg_score,win_rate,card_cn_name,corp_cn_name
Magnetic Shield,Celestic (breakthrough),30,18,104.03333333333333,53.0,30,1.95,60.0,磁屏,Celestic (breakthrough)
Farming,MorningStar Inc (breakthrough),30,14,104.96666666666667,53.0,30,1.95,46.67,农业,MorningStar Inc (breakthrough)
Imported Nitrogen,Vitor,70,34,100.08571428571429,131.0,70,1.95,48.57,引入氮气,Vitor
Sub-zero Salt Fish,Incite Ender,10,7,97.2,14.0,10,1.95,70.0,零下咸鱼,Incite Ender
Declaration of Independence,Prism,10,7,121.8,14.0,10,1.95,70.0,独立宣言,棱镜光谱研究室
Atmoscoop,Splice (breakthrough),50,22,93.24,92.0,50,1.95,44.0,大气束缚场,Splice (breakthrough)
Martian Dust Processing Plant,Id Front,10,8,108.8,14.0,10,1.95,80.0,粉尘加工厂,前线基地
Large Convoy,Septem Tribus,10,8,101.7,14.0,10,1.95,80.0,大型护航队,Septem Tribus
Big Asteroid,Aphrodite (breakthrough),10,7,83.5,14.0,10,1.95,70.0,大型小行星,Aphrodite (breakthrough)
Sponsored Academies,Id Front,10,7,123.2,14.0,10,1.95,70.0,学术赞助,前线基地
Land Claim,Ringcom,31,15,95.7741935483871,55.0,31,1.951219512195122,48.39,宣称领土,Ringcom
Ocean Farm,Ecoline (breakthrough),31,16,82.74193548387096,55.0,31,1.951219512195122,51.61,海洋农场,Ecoline (breakthrough)
Hydrothermal Vent Archaea,MorningStar Inc (breakthrough),31,17,105.90322580645162,55.0,31,1.951219512195122,54.84,深海热泉细菌,MorningStar Inc (breakthrough)
Sulphur-Eating Bacteria,United Nations Mission One,31,16,90.64516129032258,55.0,31,1.951219512195122,51.61,硫磺吞噬菌,United Nations Mission One
Insects,Vitor,31,16,98.58064516129032,55.0,31,1.951219512195122,51.61,昆虫,Vitor
Ocean Sanctuary,🌸SolarPlant🌸,52,26,86.0,96.0,52,1.9516129032258065,50.0,海豚,🌸太阳能公司🌸
Red Spot Observatory,MorningStar Inc (breakthrough),73,33,99.94520547945206,137.0,73,1.9518072289156627,45.21,红斑实验室,MorningStar Inc (breakthrough)
Dyson Screens,Aphrodite (breakthrough),11,8,89.18181818181819,16.0,11,1.9523809523809523,72.73,戴森屏,Aphrodite (breakthrough)
Hi-Tech Lab,Id Front,11,8,108.9090909090909,16.0,11,1.9523809523809523,72.73,高科技实验室,前线基地
Ecological Zone:ares,Septem Tribus,11,9,90.36363636363636,16.0,11,1.9523809523809523,81.82,Ecological Zone:ares,Septem Tribus
