card_name,play_count,game_count,wins,avg_position,avg_score,total_weighted,count_weighted,avg_resources,weighted_avg_score,win_rate,cn_name,cn_name_plot
Economic Help,244,244,63,2.528688524590164,88.86475409836065,617.0,244,0.0,2.52755905511811,25.82,经济援助,经济援助
Electric Sheep,663,663,216,2.2654600301659125,92.20060331825037,1502.0,663,4.722473604826546,2.2689450222882614,32.58,电子羊,电子羊
Electro Catapult,722,722,191,2.4778393351800556,83.50831024930748,1789.0,722,0.0,2.478142076502732,26.45,电磁弹射器,电磁弹射器
Energy Market,1562,1562,519,2.2445582586427655,87.11203585147247,3506.0,1562,0.0,2.24618320610687,33.23,能源市场,能源市场
Energy Saving,222,222,71,2.364864864864865,91.04054054054055,525.0,222,0.0,2.3706896551724137,31.98,节能减排,节能减排
Energy Station,1159,1159,350,2.340811044003451,84.05176876617774,2713.0,1159,0.0,2.3421727972626174,30.2,能源站,能源站
Energy Supply,1091,1091,334,2.323556370302475,84.85334555453713,2535.0,1091,0.0,2.3251589464123525,30.61,电力补给,电力补给
Energy Tapping,603,603,181,2.351575456053068,84.84742951907131,1418.0,603,0.0,2.3539967373572592,30.02,能量开发,能量开发
Envoys From Venus,1025,1025,366,2.1970731707317075,88.63121951219512,2252.0,1025,0.0,2.2,35.71,金星来使,金星来使
Eos Chasma National Park,1156,1156,407,2.163494809688581,89.68858131487889,2501.0,1156,0.0,2.1663807890222984,35.21,Eos 峡谷国家公园,Eos 峡谷国家公园
Equatorial Magnetizer,220,220,75,2.3,87.33181818181818,506.0,220,0.0,2.3086956521739133,34.09,赤道导磁体,赤道导磁体
Event Analysts,852,852,263,2.341549295774648,85.98239436619718,1995.0,852,0.0,2.34338747099768,30.87,事件分析,事件分析
Excavator Leasing,14,14,4,2.2142857142857144,85.35714285714286,31.0,14,0.0,2.3333333333333335,28.57,挖掘机租赁,挖掘机租赁
Expedition Vehicles,802,802,264,2.306733167082294,90.51745635910224,1850.0,802,0.0,2.3091133004926108,32.92,远征车,远征车
Expedition to the Surface - Venus,1325,1325,448,2.2437735849056604,87.8022641509434,2973.0,1325,0.0,2.245692883895131,33.81,金星表面探险,金星表面探险
Exploitation Of Venus,15,15,4,2.3333333333333335,95.2,35.0,15,0.0,2.4,26.67,金星开发,金星开发
Export Convoy,90,90,32,2.2666666666666666,66.83333333333333,204.0,90,0.0,2.29,35.56,出口船队,出口船队
Extractor Balloons,291,291,79,2.388316151202749,81.07560137457045,695.0,291,1.4810996563573884,2.39202657807309,27.15,热气球提取器,热气球提取器
Extreme-Cold Fungus,581,581,163,2.3752151462994835,81.93459552495698,1380.0,581,0.0,2.3773265651438242,28.06,极寒真菌,极寒真菌
Extremophiles,1842,1842,592,2.271986970684039,86.13626492942454,4185.0,1842,4.836047774158524,2.273218142548596,32.14,极端微生物,极端微生物
Fall of Sunrise,1408,1408,432,2.3025568181818183,84.21448863636364,3242.0,1408,0.0,2.3039492242595205,30.68,拂晓陨落,拂晓陨落
