card_name,games_2p,weighted_2p,games_4p,weighted_4p,cn_name,cn_name_plot
Anthozoa,234,1.378787878787879,580,2.262295081967213,珊瑚动物,珊瑚动物
Orbital Cleanup,730,1.3789473684210527,1721,2.3649343232438604,轨道清洁,轨道清洁
星际碎屑,239,1.379182156133829,623,2.378254211332312,星际碎屑,星际碎屑
Floater Prototypes,537,1.379188712522046,1236,2.3933649289099526,造云原型机,造云原型机
Venusian Plants,405,1.3793103448275863,878,2.1674008810572687,金星植物,金星植物
Thiolava Vents,107,1.3795620437956204,372,2.415422885572139,硫熔岩喷口,硫熔岩喷口
Farming,386,1.3798076923076923,769,2.181476846057572,农业,农业
Underground City,399,1.3799533799533799,585,2.3447154471544716,地下城,地下城
Aerobraked Ammonia Asteroid,220,1.38,127,2.3630573248407645,氮气小行星,氮气小行星
Adaptation Technology,425,1.3802197802197802,680,2.454929577464789,适应性技术,适应性技术
Floating Refinery,588,1.3802588996763754,1511,2.176508760545101,漂浮精炼厂,漂浮精炼厂
Lunar Beam,359,1.3804627249357326,557,2.4565587734241907,月球射线,月球射线
Black Polar Dust,196,1.3805309734513274,335,2.3424657534246576,黑色的极地尘埃,黑色的极地尘埃
Space Station,705,1.380952380952381,1748,2.4308211473565806,空间站,空间站
Water Import From Europa,600,1.380952380952381,1240,2.251968503937008,从欧罗巴(木卫二)注入水源,从欧罗巴(木卫二)注入水源
Caretaker Contract,180,1.380952380952381,194,2.25,监护合约,监护合约
Kaguya Tech,621,1.380952380952381,1319,2.177909562638992,辉夜科技,辉夜科技
Geological Survey,332,1.3812154696132597,872,2.382483370288248,地质调查,地质调查
Research Outpost,741,1.3813229571984436,1778,2.291482300884956,科研前哨站,科研前哨站
Soil Enrichment,518,1.3813868613138687,1261,2.1332300542215337,土壤改良,土壤改良
Ceres Tech Market,615,1.3813953488372093,1638,2.407074340527578,谷神星科技市场,谷神星科技市场
Solar Farm,447,1.3815513626834381,1123,2.280138768430182,太阳能农场,太阳能农场
