corporation,players,total_games,wins,avg_position,avg_score,avg_generations,win_rate,cn_name,cn_name_plot
🌸Mining Corp🌸,4,625,143,2.56,77.496,5.872,22.88,🌸钢铁精炼🌸,钢铁精炼
Millennium Falcon,4,92,21,2.6739130434782608,72.80434782608695,6.489130434782608,22.83,千年隼,千年隼
Void,4,274,62,2.616788321167883,57.46350364963504,3.9927007299270074,22.63,Void,Void
Poseidon,4,549,123,2.602914389799636,78.42622950819673,6.092896174863388,22.4,Poseidon,Poseidon
CrediCor,4,411,92,2.4525547445255476,62.95133819951338,4.639902676399027,22.38,CrediCor,CrediCor
🌸Shinra Tech🌸,4,696,152,2.5014367816091956,78.85775862068965,5.936781609195402,21.84,🌸樱花电🌸,樱花电
雩喵科学探测器,4,724,158,2.6450276243093924,77.99447513812154,5.7569060773480665,21.82,雩喵科学探测器,雩喵科学探测器
United Nations Mars Initiative,4,23,5,3.0,72.3913043478261,9.521739130434783,21.74,United Nations Mars Initiative,United Nations Mars Initiative
Bio-Sol,4,65,14,2.6307692307692307,75.07692307692308,6.107692307692307,21.54,,
Terralabs Research (breakthrough),4,354,76,2.7062146892655368,77.62429378531074,6.214689265536723,21.47,Terralabs Research (breakthrough),Terralabs Research (breakthrough)
Morning Star Inc.,4,28,6,2.4642857142857144,81.53571428571429,9.142857142857142,21.43,Morning Star Inc.,Morning Star Inc.
🌸PoliticalReform🌸,4,224,48,2.71875,72.91517857142857,5.754464285714286,21.43,🌸制度改革🌸,制度改革
🌸StarlinkDrifter🌸,4,515,110,2.6990291262135924,78.19029126213593,5.8757281553398055,21.36,🌸星链漂流者🌸,星链漂流者
Lakefront Resorts,4,361,77,2.473684210526316,72.40997229916897,5.670360110803324,21.33,湖畔度假区,湖畔度假区
Labour Union,4,137,29,2.5839416058394162,38.56204379562044,1.5912408759124088,21.17,Labour Union,Labour Union
Pharmacy Union,4,139,29,2.5179856115107913,76.11510791366906,6.561151079136691,20.86,制药联盟,制药联盟
🌸Tyrell🌸,4,466,97,2.59656652360515,77.8519313304721,5.871244635193133,20.82,🌸泰瑞尔公司🌸,泰瑞尔公司
Playwrights,4,262,54,2.7595419847328246,70.5381679389313,5.755725190839694,20.61,Playwrights,Playwrights
🌸Weyland Yutani🌸,4,852,175,2.6338028169014085,77.91197183098592,5.687793427230047,20.54,🌸韦兰德-尤坦尼集团🌸,韦兰德-尤坦尼集团
Helion,4,39,8,2.4871794871794872,77.35897435897436,10.051282051282051,20.51,Helion,Helion
Tharsis_republic (breakthrough),4,161,33,2.484472049689441,77.4472049689441,6.478260869565218,20.5,Tharsis_republic (breakthrough),Tharsis_republic (breakthrough)
Aridor,4,113,23,2.6548672566371683,77.98230088495575,7.3097345132743365,20.35,Aridor,Aridor
Trade Navigator,4,94,19,2.6595744680851063,82.0,6.542553191489362,20.21,贸易领航者,贸易领航者
Viron,4,20,4,2.45,81.15,9.75,20.0,Viron,Viron
Arklight (breakthrough),4,286,57,2.6538461538461537,76.57692307692308,5.965034965034965,19.93,Arklight (breakthrough),Arklight (breakthrough)
Robin Haulings,4,31,6,2.806451612903226,74.74193548387096,6.064516129032258,19.35,罗宾运输,罗宾运输
Kuiper Cooperative,4,26,5,2.576923076923077,75.65384615384616,7.730769230769231,19.23,Kuiper Cooperative,Kuiper Cooperative
Nirgal Enterprises,4,26,5,2.6153846153846154,78.26923076923077,8.076923076923077,19.23,Nirgal Enterprises,Nirgal Enterprises
Inventrix (breakthrough),4,345,63,2.736231884057971,75.60579710144927,6.260869565217392,18.26,Inventrix (breakthrough),Inventrix (breakthrough)
Curiosity II,4,56,10,2.982142857142857,72.41071428571429,6.142857142857143,17.86,Curiosity II,Curiosity II
Helion (breakthrough),4,192,34,2.609375,67.53125,5.864583333333333,17.71,Helion (breakthrough),Helion (breakthrough)
Celestic,4,34,6,2.5588235294117645,78.58823529411765,9.676470588235293,17.65,Celestic,Celestic
TeiAi Group,4,23,4,3.0869565217391304,73.04347826086956,7.0,17.39,帝爱赌场,帝爱赌场
Adhai High Orbit Constructions,4,12,2,2.8333333333333335,82.41666666666667,7.333333333333333,16.67,阿迪海高轨道建设,阿迪海高轨道建设
Robinson Industries (breakthrough),4,43,7,2.7674418604651163,70.97674418604652,7.162790697674419,16.28,Robinson Industries (breakthrough),Robinson Industries (breakthrough)
🌸双轨跃迁🌸,4,192,31,2.8489583333333335,71.09375,5.708333333333333,16.15,🌸双轨跃迁🌸,双轨跃迁
Thorgate (breakthrough),4,69,11,2.7681159420289854,78.0,7.173913043478261,15.94,Thorgate (breakthrough),Thorgate (breakthrough)
Chimera,4,32,5,2.9375,74.1875,6.84375,15.62,奇美拉,奇美拉
Mining guild (breakthrough),4,167,26,2.7425149700598803,71.38323353293413,6.149700598802395,15.57,Mining guild (breakthrough),Mining guild (breakthrough)
Collegium Copernicus,4,188,29,2.893617021276596,72.90957446808511,6.031914893617022,15.43,哥白尼学院,哥白尼学院
Factorum (breakthrough),4,199,29,2.9246231155778895,69.2964824120603,6.341708542713568,14.57,Factorum (breakthrough),Factorum (breakthrough)
Arklight,4,14,2,2.857142857142857,74.85714285714286,9.285714285714286,14.29,Arklight,Arklight
Athena,4,14,2,2.7142857142857144,87.5,7.0,14.29,Athena,Athena
Colonial One,4,7,1,3.0,70.42857142857143,6.714285714285714,14.29,Colonial One,Colonial One
Henkei Genetics,4,7,1,2.857142857142857,70.0,5.714285714285714,14.29,变形遗传学,变形遗传学
Thorgate,4,28,4,2.857142857142857,67.82142857142857,8.964285714285714,14.29,Thorgate,Thorgate
Palladin Shipping,4,58,8,2.896551724137931,69.55172413793103,7.120689655172414,13.79,Palladin Shipping,Palladin Shipping
Tycho Magnetics,4,290,40,2.9172413793103447,73.34137931034483,6.6,13.79,第谷磁力,第谷磁力
Pristar (breakthrough),4,52,7,2.980769230769231,78.26923076923077,6.596153846153846,13.46,Pristar (breakthrough),Pristar (breakthrough)
Recyclon,4,15,2,3.0,66.53333333333333,9.133333333333333,13.33,Recyclon,Recyclon
SolBank,4,15,2,3.066666666666667,76.0,6.8,13.33,SolBank,SolBank
Martian Insurance Group,4,23,3,2.608695652173913,69.1304347826087,6.260869565217392,13.04,火星保险集团,火星保险集团
Utopia Invest,4,55,7,2.8181818181818183,72.49090909090908,6.127272727272727,12.73,乌托邦投资计划,乌托邦投资计划
Mars Direct,4,8,1,3.0,78.125,6.375,12.5,火星直通车,火星直通车
Mining Guild,4,34,4,2.6470588235294117,72.52941176470588,9.352941176470589,11.76,Mining Guild,Mining Guild
Runciter Associates,4,86,10,2.9302325581395348,71.68604651162791,6.662790697674419,11.63,朗西斯联合公司,朗西斯联合公司
Gagarin Mobile Base,4,27,3,2.8518518518518516,74.0,6.37037037037037,11.11,Gagarin Mobile Base,Gagarin Mobile Base
Recyclon (breakthrough),4,83,9,2.8313253012048194,68.75903614457832,5.843373493975903,10.84,Recyclon (breakthrough),Recyclon (breakthrough)
Project Workshop,4,38,4,3.0,73.13157894736842,6.7368421052631575,10.53,Project Workshop,Project Workshop
Mars Maths,4,67,7,3.1343283582089554,70.53731343283582,6.268656716417911,10.45,Mars Maths,Mars Maths
Odyssey,4,11,1,3.5454545454545454,15.272727272727273,6.363636363636363,9.09,奥德赛,奥德赛
Stormcraft Incorporated,4,14,1,2.642857142857143,80.14285714285714,9.428571428571429,7.14,Stormcraft Incorporated,Stormcraft Incorporated
Junk Ventures,4,113,6,3.2920353982300883,64.70796460176992,6.345132743362832,5.31,Junk Ventures,Junk Ventures
Luna First Incorporated,4,5,0,2.6,80.2,7.2,0.0,月球先行公司,月球先行公司
