combination,total_games,wins,avg_position,avg_score,total_weighted,count_weighted,weighted_avg_score,win_rate,cn_name_plot
Tycho Magnetics + 🌸Weyland Yutani🌸,18,4,2.5,86.88888888888889,45.0,18,2.5,22.22,第谷磁力 + 🌸韦兰德-尤坦尼集团🌸
Splice (breakthrough) + 🌸Prowler🌸,16,3,2.5,75.1875,40.0,16,2.5,18.75,Splice (breakthrough) + 🌸徘徊者🌸
Luna Chain + Teractor (breakthrough),12,3,2.5,90.75,30.0,12,2.5,25.0,连月 + Teractor (breakthrough)
Collegium Copernicus + 🌸Weyland Yutani🌸,34,8,2.5,77.41176470588235,85.0,34,2.5,23.53,哥白尼学院 + 🌸韦兰德-尤坦尼集团🌸
Poseidon + 🌸Mining Corp🌸,16,6,2.5,88.0625,40.0,16,2.5,37.5,Poseidon + 🌸钢铁精炼🌸
Arcadian Communities (breakthrough) + 🌸Energy Saving Ecology🌸,10,3,2.5,74.0,25.0,10,2.5,30.0,Arcadian Communities (breakthrough) + 🌸节能生态🌸
Inventrix (breakthrough) + Viron (breakthrough),10,2,2.5,75.9,25.0,10,2.5,20.0,Inventrix (breakthrough) + Viron (breakthrough)
Midas + Vitor,12,2,2.5,71.83333333333333,30.0,12,2.5,16.67,Midas + Vitor
Midas + 🌸StarlinkDrifter🌸,12,4,2.5,69.75,30.0,12,2.5,33.33,Midas + 🌸星链漂流者🌸
🌸Shinra Tech🌸 + 🌸Tyrell🌸,12,2,2.5,98.5,30.0,12,2.5,16.67,🌸樱花电🌸 + 🌸泰瑞尔公司🌸
Sagitta Frontier Services + 雩喵科学探测器,12,5,2.5,79.33333333333333,30.0,12,2.5,41.67,Sagitta Frontier Services + 雩喵科学探测器
Recyclon (breakthrough) + 🌸Integrated Microorganisms🌸,20,5,2.5,94.2,50.0,20,2.5,25.0,Recyclon (breakthrough) + 🌸微生物星尘🌸
Manutech + 🌸MirrorCoat🌸,12,3,2.5,82.83333333333333,30.0,12,2.5,25.0,Manutech + 🌸镜反🌸
Hecate Speditions + Point Luna,16,6,2.5,84.0625,40.0,16,2.5,37.5,赫卡忒探险队 + Point Luna
Prism + Vitor,22,5,2.5,94.72727272727273,55.0,22,2.5,22.73,棱镜光谱研究室 + Vitor
Luna Chain + Vitor,28,7,2.5,97.5,70.0,28,2.5,25.0,连月 + Vitor
Luna Chain + 🌸StarlinkDrifter🌸,10,2,2.5,73.8,25.0,10,2.5,20.0,连月 + 🌸星链漂流者🌸
Mining guild (breakthrough) + 🌸Mining Corp🌸,30,9,2.5,86.66666666666667,75.0,30,2.5,30.0,Mining guild (breakthrough) + 🌸钢铁精炼🌸
Prism + Valley Trust (breakthrough),29,7,2.5172413793103448,86.27586206896552,73.0,29,2.5128205128205128,24.14,棱镜光谱研究室 + Valley Trust (breakthrough)
Point Luna + Ringcom,29,9,2.5172413793103448,90.82758620689656,73.0,29,2.5128205128205128,31.03,Point Luna + Ringcom
Point Luna + 🌸EliteTech🌸,23,7,2.5217391304347827,79.43478260869566,58.0,23,2.515151515151515,30.43,Point Luna + 🌸精英回馈🌸
Midas + Pobolog (breakthrough),17,4,2.5294117647058822,84.05882352941177,43.0,17,2.5185185185185186,23.53,Midas + Pobolog (breakthrough)
Recyclon (breakthrough) + Splice (breakthrough),17,4,2.5294117647058822,92.23529411764706,43.0,17,2.5185185185185186,23.53,Recyclon (breakthrough) + Splice (breakthrough)
Point Luna + 🌸Scolex Industries🌸,17,5,2.5294117647058822,91.94117647058823,43.0,17,2.5185185185185186,29.41,Point Luna + 🌸星核工业🌸
Spire + 🌸Weyland Yutani🌸,17,5,2.5294117647058822,81.23529411764706,43.0,17,2.5185185185185186,29.41,Spire + 🌸韦兰德-尤坦尼集团🌸
Celestic (breakthrough) + Pobolog (breakthrough),15,2,2.533333333333333,83.13333333333334,38.0,15,2.52,13.33,Celestic (breakthrough) + Pobolog (breakthrough)
Poseidon + Ringcom,15,2,2.533333333333333,89.93333333333334,38.0,15,2.52,13.33,Poseidon + Ringcom
Spire + 🌸Integrated Microorganisms🌸,15,3,2.533333333333333,75.06666666666666,38.0,15,2.52,20.0,Spire + 🌸微生物星尘🌸
Helion (breakthrough) + 🌸Protogen🌸,13,1,2.5384615384615383,75.6923076923077,33.0,13,2.5217391304347827,7.69,Helion (breakthrough) + 🌸微生物热舞🌸
Ringcom + 🌸StarlinkDrifter🌸,13,2,2.5384615384615383,83.15384615384616,33.0,13,2.5217391304347827,15.38,Ringcom + 🌸星链漂流者🌸
Poseidon + 🌸StarlinkDrifter🌸,13,3,2.5384615384615383,85.76923076923077,33.0,13,2.5217391304347827,23.08,Poseidon + 🌸星链漂流者🌸
Midas + Terralabs Research (breakthrough),11,4,2.5454545454545454,116.63636363636364,28.0,11,2.5238095238095237,36.36,Midas + Terralabs Research (breakthrough)
Tycho Magnetics + 🌸Scolex Industries🌸,11,3,2.5454545454545454,110.18181818181819,28.0,11,2.5238095238095237,27.27,第谷磁力 + 🌸星核工业🌸
Bio-Sol + 🌸Protogen🌸,11,2,2.5454545454545454,74.18181818181819,28.0,11,2.5238095238095237,18.18, + 🌸微生物热舞🌸
Thorgate (breakthrough) + Tycho Magnetics,11,2,2.5454545454545454,117.27272727272727,28.0,11,2.5238095238095237,18.18,Thorgate (breakthrough) + 第谷磁力
Point Luna + Terralabs Research (breakthrough),26,6,2.5384615384615383,84.8076923076923,66.0,26,2.5277777777777777,23.08,Point Luna + Terralabs Research (breakthrough)
Prism + 🌸StarlinkDrifter🌸,75,25,2.533333333333333,94.41333333333333,190.0,75,2.5294117647058822,33.33,棱镜光谱研究室 + 🌸星链漂流者🌸
Inventrix (breakthrough) + 🌸Weyland Yutani🌸,24,6,2.5416666666666665,83.54166666666667,61.0,24,2.5294117647058822,25.0,Inventrix (breakthrough) + 🌸韦兰德-尤坦尼集团🌸
Manutech + Point Luna,22,6,2.5454545454545454,93.36363636363636,56.0,22,2.53125,27.27,Manutech + Point Luna
Tycho Magnetics + 🌸SolarPlant🌸,35,6,2.5428571428571427,75.65714285714286,89.0,35,2.533333333333333,17.14,第谷磁力 + 🌸太阳能公司🌸
Arcadian Communities (breakthrough) + Mining guild (breakthrough),18,5,2.5555555555555554,83.38888888888889,46.0,18,2.5357142857142856,27.78,Arcadian Communities (breakthrough) + Mining guild (breakthrough)
Midas + 🌸Integrated Microorganisms🌸,16,4,2.5625,74.5,41.0,16,2.5384615384615383,25.0,Midas + 🌸微生物星尘🌸
Teractor (breakthrough) + 🌸Integrated Microorganisms🌸,14,4,2.5714285714285716,84.28571428571429,36.0,14,2.5416666666666665,28.57,Teractor (breakthrough) + 🌸微生物星尘🌸
Luna Chain + 雩喵科学探测器,14,3,2.5714285714285716,79.21428571428571,36.0,14,2.5416666666666665,21.43,连月 + 雩喵科学探测器
Valley Trust (breakthrough) + Viron (breakthrough),25,7,2.56,95.92,64.0,25,2.5428571428571427,28.0,Valley Trust (breakthrough) + Viron (breakthrough)
Pobolog (breakthrough) + 🌸StarlinkDrifter🌸,12,4,2.5833333333333335,128.41666666666666,31.0,12,2.5454545454545454,33.33,Pobolog (breakthrough) + 🌸星链漂流者🌸
Mining guild (breakthrough) + 🌸RDA🌸,12,2,2.5833333333333335,74.25,31.0,12,2.5454545454545454,16.67,Mining guild (breakthrough) + 🌸RDA🌸
Midas + Ringcom,23,7,2.5652173913043477,87.21739130434783,59.0,23,2.5454545454545454,30.43,Midas + Ringcom
MorningStar Inc (breakthrough) + StormCraft Incorporated (breakthrough),12,2,2.5833333333333335,92.58333333333333,31.0,12,2.5454545454545454,16.67,MorningStar Inc (breakthrough) + StormCraft Incorporated (breakthrough)
🌸Energy Saving Ecology🌸 + 🌸Prowler🌸,12,2,2.5833333333333335,76.25,31.0,12,2.5454545454545454,16.67,🌸节能生态🌸 + 🌸徘徊者🌸
Prism + Viron (breakthrough),43,11,2.558139534883721,88.51162790697674,110.0,43,2.547169811320755,25.58,棱镜光谱研究室 + Viron (breakthrough)
CrediCor + Midas,32,9,2.5625,52.8125,82.0,32,2.5476190476190474,28.12,CrediCor + Midas
🌸Tyrell🌸 + 🌸Weyland Yutani🌸,32,6,2.5625,87.75,82.0,32,2.5476190476190474,18.75,🌸泰瑞尔公司🌸 + 🌸韦兰德-尤坦尼集团🌸
