user_id,prelude_name,usage_count,total_wins,total_position_sum,win_rate,avg_position,user_name,cn_name,cn_name_plot
c1b6956fd829,Donation,12,5,23,41.67,1.917,万物,捐赠,捐赠
c1b6956fd829,Double Down,8,1,22,12.5,2.75,万物,双倍下注,双倍下注
c1b6956fd829,Early Colonization,16,12,24,75.0,1.5,万物,早期殖民,早期殖民
c1b6956fd829,Experimental Forest,15,7,29,46.67,1.933,万物,实验林场,实验林场
c1b6956fd829,Galilean Mining,3,1,6,33.33,2.0,万物,伽利略矿业,伽利略矿业
c1b6956fd829,Loan,14,6,32,42.86,2.286,万物,贷款,贷款
c1b6956fd829,Metal-Rich Asteroid,4,0,10,0.0,2.5,万物,富含金属的小行星,富含金属的小行星
c1b6956fd829,New Partner,14,6,31,42.86,2.214,万物,新合伙人,新合伙人
c1b6956fd829,Project Eden,8,3,16,37.5,2.0,万物,伊甸园计划,伊甸园计划
c1b6956fd829,Research Network,29,9,62,31.03,2.138,万物,研究网络,研究网络
c1b6956fd829,SF Memorial,35,17,68,48.57,1.943,万物,SF纪念碑,SF纪念碑
c1b6956fd829,Self-Sufficient Settlement,2,0,5,0.0,2.5,万物,自给自足的据点,自给自足的据点
c1b6956fd829,Soil Bacteria,17,7,34,41.18,2.0,万物,土壤细菌,土壤细菌
c1b6956fd829,Space Lanes,11,5,19,45.45,1.727,万物,太空航道,太空航道
c1b6956fd829,Suitable Infrastructure,14,3,35,21.43,2.5,万物,适宜基础设施,适宜基础设施
c1b6956fd829,Supplier,3,1,5,33.33,1.667,万物,供应商,供应商
c1b6956fd829,Supply Drop,16,7,36,43.75,2.25,万物,空投补给,空投补给
c1b6956fd829,Terraforming Deal,2,0,7,0.0,3.5,万物,地球化交易,地球化交易
c1b6956fd829,UNMI Contractor,12,4,27,33.33,2.25,万物,UNMI 承包商,UNMI 承包商
c1b6956fd829,Venus Contract,3,1,5,33.33,1.667,万物,金星合同,金星合同
c1b6956fd829,World Government Advisor,2,0,5,0.0,2.5,万物,世界政府顾问,世界政府顾问
c41cd9aa00f3,Ecology Experts,2,0,8,0.0,4.0,maggiezheng,生态学专家,生态学专家
c4f6ba391723,Acquired Space Agency,12,1,32,8.33,2.667,liyo,收购太空总署,收购太空总署
c4f6ba391723,Double Down,4,1,8,25.0,2.0,liyo,双倍下注,双倍下注
c4f6ba391723,Early Colonization,4,1,11,25.0,2.75,liyo,早期殖民,早期殖民
c4f6ba391723,Experimental Forest,4,4,4,100.0,1.0,liyo,实验林场,实验林场
c4f6ba391723,Galilean Mining,2,1,3,50.0,1.5,liyo,伽利略矿业,伽利略矿业
c4f6ba391723,Huge Asteroid,2,1,4,50.0,2.0,liyo,巨型小行星,巨型小行星
c4f6ba391723,Io Research Outpost,5,1,16,20.0,3.2,liyo,木卫一研究前哨,木卫一研究前哨
c4f6ba391723,Metal-Rich Asteroid,2,0,4,0.0,2.0,liyo,富含金属的小行星,富含金属的小行星
c4f6ba391723,Orbital Construction Yard,3,2,5,66.67,1.667,liyo,轨道建造场,轨道建造场
c4f6ba391723,Project Eden,5,1,11,20.0,2.2,liyo,伊甸园计划,伊甸园计划
c4f6ba391723,Research Network,3,1,5,33.33,1.667,liyo,研究网络,研究网络
c4f6ba391723,SF Memorial,4,1,8,25.0,2.0,liyo,SF纪念碑,SF纪念碑
c4f6ba391723,Space Lanes,4,3,6,75.0,1.5,liyo,太空航道,太空航道
c4f6ba391723,Suitable Infrastructure,3,2,6,66.67,2.0,liyo,适宜基础设施,适宜基础设施
c4f6ba391723,Supplier,2,0,5,0.0,2.5,liyo,供应商,供应商
c4f6ba391723,Supply Drop,2,1,5,50.0,2.5,liyo,空投补给,空投补给
c4f6ba391723,Terraforming Deal,4,1,9,25.0,2.25,liyo,地球化交易,地球化交易
c4f6ba391723,UNMI Contractor,4,2,8,50.0,2.0,liyo,UNMI 承包商,UNMI 承包商
c4f6ba391723,Venus Contract,4,1,12,25.0,3.0,liyo,金星合同,金星合同
c4f6ba391723,World Government Advisor,2,0,6,0.0,3.0,liyo,世界政府顾问,世界政府顾问
c6e15a2e99c8,SF Memorial,2,0,6,0.0,3.0,我超凶的,SF纪念碑,SF纪念碑
c6e15a2e99c8,Space Lanes,2,0,5,0.0,2.5,我超凶的,太空航道,太空航道
c82433ca5ee7,Double Down,2,0,6,0.0,3.0,一直,双倍下注,双倍下注
c82433ca5ee7,New Partner,2,0,6,0.0,3.0,一直,新合伙人,新合伙人
c92ad55e0060,Allied Bank,3,2,5,66.67,1.667,lha123com,联合银行,联合银行
c92ad55e0060,Donation,11,2,33,18.18,3.0,lha123com,捐赠,捐赠
c92ad55e0060,Double Down,3,1,9,33.33,3.0,lha123com,双倍下注,双倍下注
c92ad55e0060,Early Colonization,2,0,5,0.0,2.5,lha123com,早期殖民,早期殖民
c92ad55e0060,Experimental Forest,4,0,13,0.0,3.25,lha123com,实验林场,实验林场
c92ad55e0060,Loan,5,2,12,40.0,2.4,lha123com,贷款,贷款
c92ad55e0060,Metal-Rich Asteroid,5,0,14,0.0,2.8,lha123com,富含金属的小行星,富含金属的小行星
c92ad55e0060,Mining Operations,5,1,16,20.0,3.2,lha123com,采矿作业,采矿作业
c92ad55e0060,New Partner,7,2,20,28.57,2.857,lha123com,新合伙人,新合伙人
c92ad55e0060,Orbital Construction Yard,3,0,9,0.0,3.0,lha123com,轨道建造场,轨道建造场
c92ad55e0060,SF Memorial,7,0,24,0.0,3.429,lha123com,SF纪念碑,SF纪念碑
c92ad55e0060,Smelting Plant,2,0,6,0.0,3.0,lha123com,冶炼厂,冶炼厂
c92ad55e0060,Soil Bacteria,2,1,5,50.0,2.5,lha123com,土壤细菌,土壤细菌
c92ad55e0060,Suitable Infrastructure,2,1,5,50.0,2.5,lha123com,适宜基础设施,适宜基础设施
c92ad55e0060,Supplier,3,2,5,66.67,1.667,lha123com,供应商,供应商
c92ad55e0060,Supply Drop,4,3,7,75.0,1.75,lha123com,空投补给,空投补给
c92ad55e0060,Venus Contract,2,0,7,0.0,3.5,lha123com,金星合同,金星合同
ca4b469227f9,Acquired Space Agency,5,1,14,20.0,2.8,荒野侦探2666,收购太空总署,收购太空总署
ca4b469227f9,Aquifer Turbines,2,0,7,0.0,3.5,荒野侦探2666,含水层涡轮机,含水层涡轮机
ca4b469227f9,Donation,3,0,9,0.0,3.0,荒野侦探2666,捐赠,捐赠
ca4b469227f9,Double Down,4,0,15,0.0,3.75,荒野侦探2666,双倍下注,双倍下注
ca4b469227f9,Early Colonization,5,1,14,20.0,2.8,荒野侦探2666,早期殖民,早期殖民
ca4b469227f9,Metal-Rich Asteroid,2,0,7,0.0,3.5,荒野侦探2666,富含金属的小行星,富含金属的小行星
ca4b469227f9,New Partner,3,1,7,33.33,2.333,荒野侦探2666,新合伙人,新合伙人
ca4b469227f9,Power Generation,3,1,7,33.33,2.333,荒野侦探2666,发电,发电
ca4b469227f9,Research Network,5,0,18,0.0,3.6,荒野侦探2666,研究网络,研究网络
ca4b469227f9,SF Memorial,7,1,17,14.29,2.429,荒野侦探2666,SF纪念碑,SF纪念碑
ca4b469227f9,Self-Sufficient Settlement,2,0,7,0.0,3.5,荒野侦探2666,自给自足的据点,自给自足的据点
ca4b469227f9,Space Lanes,2,0,6,0.0,3.0,荒野侦探2666,太空航道,太空航道
ca4b469227f9,Supply Drop,3,0,9,0.0,3.0,荒野侦探2666,空投补给,空投补给
ca4b469227f9,Venus Contract,2,1,4,50.0,2.0,荒野侦探2666,金星合同,金星合同
ca90f1372734,Metal-Rich Asteroid,2,0,4,0.0,2.0,田二,富含金属的小行星,富含金属的小行星
cec0e3f37580,Acquired Space Agency,5,0,13,0.0,2.6,hikaru,收购太空总署,收购太空总署
cec0e3f37580,Allied Bank,4,0,12,0.0,3.0,hikaru,联合银行,联合银行
