card_name,total_games,wins,avg_position,avg_score,total_weighted,count_weighted,avg_resources,weighted_avg_score,win_rate,cn_name,cn_name_plot
Ansible,511,323,1.3679060665362035,210.2054794520548,699.0,511,0.0,1.3752310536044363,63.21,安塞波,安塞波
Solarpedia,215,138,1.3581395348837209,219.73023255813953,292.0,215,1.4697674418604652,1.3755102040816327,64.19,太阳系百科全书,太阳系百科全书
Ice Asteroid,404,256,1.3663366336633664,185.9480198019802,552.0,404,0.0,1.3755760368663594,63.37,结冰行星,结冰行星
WG Project,167,108,1.3532934131736527,165.4131736526946,226.0,167,0.0,1.3756345177664975,64.67,WG 项目,WG 项目
Kickstarter,276,176,1.3623188405797102,204.09782608695653,376.0,276,0.0,1.3758169934640523,63.77,KS众筹,KS众筹
Neutralizer Factory,494,312,1.368421052631579,192.66194331983806,676.0,494,0.0,1.3759541984732824,63.16,中和剂工厂,中和剂工厂
Special Design,297,189,1.3636363636363635,226.5151515151515,405.0,297,0.0,1.3761467889908257,63.64,特别构思,特别构思
Crash Site Cleanup,281,179,1.3629893238434163,201.08896797153025,383.0,281,0.0,1.3762057877813505,63.7,陨石坑清洁,陨石坑清洁
Stratospheric Expedition,690,434,1.3710144927536232,191.5768115942029,946.0,690,0.0,1.3763888888888889,62.9,平流层远征,平流层远征
Sub-zero Salt Fish,326,207,1.3650306748466257,217.82515337423314,445.0,326,2.395705521472393,1.3764044943820224,63.5,零下咸鱼,零下咸鱼
Nuclear Zone:ares,318,202,1.3647798742138364,179.41194968553458,434.0,318,0.0,1.3764367816091954,63.52,Nuclear Zone:ares,Nuclear Zone:ares
Great Dam:promo,132,86,1.3484848484848484,164.43939393939394,178.0,132,0.0,1.376543209876543,65.15,Great Dam:promo,Great Dam:promo
Atmoscoop,607,382,1.370675453047776,192.3492586490939,832.0,607,0.0,1.3767660910518054,62.93,大气束缚场,大气束缚场
Permafrost Extraction,238,152,1.361344537815126,194.57983193277312,324.0,238,0.0,1.376865671641791,63.87,冻土精炼,冻土精炼
Cow,495,312,1.3696969696969696,199.610101010101,678.0,495,3.1515151515151514,1.3771428571428572,63.03,奶牛,奶牛
Expedition Vehicles,190,122,1.3578947368421053,195.96842105263158,258.0,190,0.0,1.3772727272727272,64.21,远征车,远征车
奇物丰收,190,122,1.3578947368421053,231.06315789473683,258.0,190,0.0,1.3772727272727272,64.21,奇物丰收,奇物丰收
Directed Heat Usage,497,313,1.3702213279678068,197.8189134808853,681.0,497,0.0,1.3776091081593929,62.98,热能定向利用,热能定向利用
Venus Shuttles,473,298,1.3699788583509513,202.50951374207187,648.0,473,0.0,1.3777335984095427,63.0,金星穿梭机,金星穿梭机
Asteroid Mining Consortium,518,326,1.3706563706563706,200.9903474903475,710.0,518,0.0,1.3777372262773722,62.93,行星采矿财团,行星采矿财团
Soil Studies,359,227,1.3676880222841226,187.86908077994428,491.0,359,0.0,1.3778920308483291,63.23,土壤研究,土壤研究
Fall of Sunrise,470,296,1.3702127659574468,192.80425531914895,644.0,470,0.0,1.378,62.98,拂晓陨落,拂晓陨落
Power Plant:Pathfinders,237,151,1.3628691983122363,216.13080168776372,323.0,237,0.0,1.3782771535580525,63.71,Power Plant:Pathfinders,Power Plant:Pathfinders
Anthozoa,234,149,1.3632478632478633,210.14957264957266,319.0,234,2.7094017094017095,1.378787878787879,63.68,珊瑚动物,珊瑚动物
Orbital Cleanup,730,457,1.373972602739726,184.96712328767123,1003.0,730,0.0,1.3789473684210527,62.6,轨道清洁,轨道清洁
星际碎屑,239,152,1.3640167364016735,230.6276150627615,326.0,239,18.732217573221757,1.379182156133829,63.6,星际碎屑,星际碎屑
Floater Prototypes,537,337,1.37243947858473,196.39106145251398,737.0,537,0.0,1.379188712522046,62.76,造云原型机,造云原型机
Venusian Plants,405,255,1.3703703703703705,213.70617283950617,555.0,405,0.0,1.3793103448275863,62.96,金星植物,金星植物
Thiolava Vents,107,70,1.3457943925233644,218.21495327102804,144.0,107,13.981308411214954,1.3795620437956204,65.42,硫熔岩喷口,硫熔岩喷口
Farming,386,243,1.3704663212435233,206.38860103626942,529.0,386,0.0,1.3798076923076923,62.95,农业,农业
Underground City,399,251,1.3709273182957393,191.30576441102758,547.0,399,0.0,1.3799533799533799,62.91,地下城,地下城
Aerobraked Ammonia Asteroid,220,140,1.3636363636363635,226.87272727272727,300.0,220,0.0,1.38,63.64,氮气小行星,氮气小行星
